# state	agent	action	depth	score	prior_nodes	visits	wins	losses	draws
10WG83Xmy.FsSE00.0.0.L.0.5.F.0.D.14	rust-evo-g1-c0-279-109-820-53-117-66	2P	2	-106	867	1	0	0	1
10WG83Xni.FcS621.0.0.D.0.3.0.0.L.1L	rust-evo-g1-c0-279-109-820-53-117-66	I3	2	106	915	1	0	0	1
10WG83Xni.FcS621.0.0.D.0.6.0.0.L.1p	rust-evo-g1-c0-279-109-820-53-117-66	I3	2	106	915	1	0	0	1
10WG83Xni.FcS621.0.0.D.0.6.0.0.L.1p	rust-handcrafted-g0	I3	2	110	915	1	0	0	1
10WG83Xni.FcS621.0.0.L.0.2.0.0.D.18	rust-evo-g1-c0-279-109-820-53-117-66	5R	2	-106	963	1	0	0	1
10WG83Xni.FcS621.0.0.L.0.3.0.0.D.1e	rust-evo-g1-c0-279-109-820-53-117-66	2N	2	-106	867	1	0	0	1
10WG83Xni.FcS621.0.0.L.0.6.0.0.D.1e	rust-handcrafted-g0	2N	2	-110	867	1	0	0	1
10WG83Xni.FcSE20.0.0.D.0.2.7.0.L.17	rust-handcrafted-g0	CG	2	110	915	1	0	0	1
10WG83Xni.FcSE20.0.0.D.0.3.7.0.L.1d	rust-handcrafted-g0	CG	2	110	915	1	0	0	1
10WG83Xni.FcSE20.0.0.D.0.6.7.0.L.1d	rust-evo-g1-c0-279-109-820-53-117-66	CG	2	106	915	1	0	0	1
10WG83Xni.FcSE20.0.0.L.0.6.7.0.D.1S	rust-handcrafted-g0	2N	2	-110	867	1	0	0	1
10WG83Xni.FsC621.0.0.D.0.6.S.0.L.1X	rust-evo-g1-c0-279-109-820-53-117-66	17	2	106	963	1	0	0	1
10WG83Xni.FsC621.0.0.L.0.3.S.0.D.1M	rust-handcrafted-g0	2N	2	-110	867	1	0	0	1
10WG83Xni.FsC621.0.0.L.0.6.S.0.D.1q	rust-evo-g1-c0-279-109-820-53-117-66	2N	2	-106	867	1	0	0	1
10WG83Xni.FsC621.0.0.L.0.6.S.0.D.1q	rust-handcrafted-g0	2N	2	-110	867	1	0	0	1
10WG83Xni.FsS620.0.0.D.0.2.M.0.L.1D	rust-handcrafted-g0	6N	2	110	867	1	0	0	1
10WG83Xni.FsS620.0.0.D.0.6.M.0.L.1j	rust-evo-g1-c0-279-109-820-53-117-66	6N	2	106	867	1	0	0	1
10WG83Xni.FsS620.0.0.D.0.6.M.0.L.1j	rust-handcrafted-g0	6N	2	110	867	1	0	0	1
10WG83Xni.FsS620.0.0.L.0.6.M.0.D.1Y	rust-handcrafted-g0	2N	2	-110	867	1	0	0	1
10WG83Xni.FsSE00.0.0.D.0.6.F.0.L.1R	rust-evo-g1-c0-279-109-820-53-117-66	MK	2	106	963	1	0	0	1
10WG83Xni.FsSE00.0.0.L.0.2.F.0.D.1E	rust-evo-g1-c0-279-109-820-53-117-66	3D	2	-106	867	1	0	0	1
10WG83Xni.FsSE00.0.0.L.0.6.F.0.D.1k	rust-evo-g1-c0-279-109-820-53-117-66	2N	2	-106	867	1	0	0	1
10WG83Xni.FsSE00.0.0.L.0.6.F.0.D.1k	rust-handcrafted-g0	2N	2	-110	867	1	0	0	1
10WG83Xnu.FcS621.0.0.D.0.4.0.0.L.1f	rust-evo-g1-c0-279-109-820-53-117-66	I3	2	106	915	1	0	0	1
10WG83Xnu.FcS621.0.0.D.0.4.0.0.L.1f	rust-handcrafted-g0	I3	2	110	915	1	0	0	1
10WG83Xnu.FcS621.0.0.L.0.4.0.0.D.1U	rust-handcrafted-g0	5P	2	-110	915	1	0	0	1
10WG83Xnu.FcSE20.0.0.D.0.4.7.0.L.1T	rust-evo-g1-c0-279-109-820-53-117-66	CG	2	106	915	1	0	0	1
10WG83Xnu.FcSE20.0.0.L.0.4.7.0.D.1m	rust-evo-g1-c0-279-109-820-53-117-66	5P	2	-106	915	1	0	0	1
10WG83Xnu.FcSE20.0.0.L.0.4.7.0.D.1m	rust-handcrafted-g0	5P	2	-110	915	1	0	0	1
10WG83Xnu.FcSE20.0.0.L.0.6.7.0.D.16	rust-evo-g1-c0-279-109-820-53-117-66	3t	2	-106	915	1	0	0	1
10WG83Xnu.FsC621.0.0.D.0.4.S.0.L.1N	rust-evo-g1-c0-279-109-820-53-117-66	17	2	106	915	1	0	0	1
10WG83Xnu.FsC621.0.0.D.0.4.S.0.L.1r	rust-evo-g1-c0-279-109-820-53-117-66	17	2	106	915	1	0	0	1
10WG83Xnu.FsC621.0.0.D.0.4.S.0.L.1r	rust-handcrafted-g0	17	2	110	915	1	0	0	1
10WG83Xnu.FsC621.0.0.D.0.6.S.0.L.1B	rust-handcrafted-g0	17	2	110	915	1	0	0	1
10WG83Xnu.FsC621.0.0.L.0.4.S.0.D.1g	rust-evo-g1-c0-279-109-820-53-117-66	5P	2	-106	915	1	0	0	1
10WG83Xnu.FsC621.0.0.L.0.4.S.0.D.1g	rust-handcrafted-g0	5P	2	-110	915	1	0	0	1
10WG83Xnu.FsS620.0.0.D.0.4.M.0.L.1Z	rust-evo-g1-c0-279-109-820-53-117-66	6N	2	106	867	1	0	0	1
10WG83Xnu.FsS620.0.0.L.0.4.M.0.D.1O	rust-handcrafted-g0	5P	2	-110	915	1	0	0	1
10WG83Xnu.FsS620.0.0.L.0.4.M.0.D.1s	rust-evo-g1-c0-279-109-820-53-117-66	5P	2	-106	915	1	0	0	1
10WG83Xnu.FsS620.0.0.L.0.4.M.0.D.1s	rust-handcrafted-g0	5P	2	-110	915	1	0	0	1
10WG83Xnu.FsS620.0.0.L.0.6.M.0.D.1C	rust-evo-g1-c0-279-109-820-53-117-66	3t	2	-106	915	1	0	0	1
10WG83Xnu.FsSE00.0.0.D.0.4.F.0.L.1l	rust-evo-g1-c0-279-109-820-53-117-66	MK	2	106	963	1	0	0	1
10WG83Xnu.FsSE00.0.0.D.0.4.F.0.L.1l	rust-handcrafted-g0	MK	2	110	963	1	0	0	1
10WG83Xnu.FsSE00.0.0.D.0.6.F.0.L.15	rust-handcrafted-g0	MK	2	110	963	1	0	0	1
10WG83Xnu.FsSE00.0.0.L.0.4.F.0.D.1a	rust-handcrafted-g0	5P	2	-110	915	1	0	0	1
10WG83XuE.FcSE01.0.0.D.0.3.F.0.L.1R	rust-handcrafted-g0	0u	2	110	867	1	0	0	1
10WG83XuE.FcSE20.0.0.L.0.3.7.0.D.1S	rust-evo-g1-c0-279-109-820-53-117-66	1c	2	-106	867	1	0	0	1
10WG83XuS.FcS621.0.0.L.0.4.0.0.D.1U	rust-evo-g1-c0-279-109-820-53-117-66	2O	2	-106	867	1	0	0	1
10WG83XuS.FcSE20.0.0.D.0.4.7.0.L.1T	rust-handcrafted-g0	CG	2	110	915	1	0	0	1
10WG83XuS.FsC621.0.0.D.0.m.S.0.L.13	rust-evo-g1-c0-279-109-820-53-117-66	17	2	106	963	1	0	0	1
10WG83XuS.FsS620.0.0.L.0.m.M.0.D.14	rust-handcrafted-g0	2O	2	-110	867	1	0	0	1
10WG83Xuu.FcS621.0.0.D.0.5.0.0.L.1V	rust-handcrafted-g0	I3	2	110	915	1	0	0	1
10WG83Xuu.FsC621.0.0.D.0.4.S.0.L.1D	rust-evo-g1-c0-279-109-820-53-117-66	17	2	106	915	1	0	0	1
10WG83Xuu.FsC621.0.0.L.0.5.S.0.D.1W	rust-evo-g1-c0-279-109-820-53-117-66	3K	2	-106	915	1	0	0	1
