# state	action	visits	wins	losses	draws
102WIHA10.GWG5W0S3.4.3.D.0.-.-.0.L.N	0R	1	1	0	0
102WIHA10.GWGDW0S3.4.2.L.0.-.-.0.D.O	0L	1	0	1	0
102WIPA10.GWGDW0S3.3.2.D.0.-.-.0.L.P	0g	1	1	0	0
102WIPA10.HWGDW0S3.3.1.L.0.-.-.0.D.Q	0W	1	0	1	0
102aGOU38.S0GFW0S3.0.0.D.0.7.-.0.L.b	If	1	1	0	0
102aGPU18.S0GDW0S3.0.1.D.W00.G.H.1.L.Z	0P	1	1	0	0
102aGPU18.S0GFW0S3.0.0.L.0.G.-.0.D.a	Eg	1	0	1	0
102aIPA10.HWGDW0S3.2.1.D.0.-.-.0.L.R	0i	1	1	0	0
102aIPA10.LWGDW0S3.2.0.L.0.-.-.0.D.S	0E	1	0	1	0
102aIPE10.LWGDW0S3.1.0.D.0.-.-.0.L.T	LO	1	1	0	0
102aIPE10.TWG9W0S3.1.0.L.0.-.j.0.D.U	0h	1	0	1	0
104.K0.C.C.D.0.-.-.0.L.5	07	1	1	0	0
104.M0.C.B.L.0.-.-.0.D.6	09	1	0	1	0
10400000.W0000.C.D.D.0.-.-.0.L.3	00	1	0	1	0
10400000.W0001.C.C.L.0.-.-.0.D.4	03	1	1	0	0
10400008.W0001.B.C.D.0.-.-.0.L.5	0A	1	0	1	0
10400008.W00G1.B.B.L.0.-.-.0.D.6	0H	1	1	0	0
1040000C.W1G01.A.A.L.W00.-.-.1.D.A	09	1	1	0	0
1040008C.W1G01.9.A.D.0.-.-.0.L.B	0J	1	0	1	0
1040008C.W3G01.9.9.L.0.-.-.0.D.C	0N	1	1	0	0
10400W08.W0001.A.C.D.G0.-.-.1.L.7	0I	1	0	1	0
10400W08.W1001.A.B.L.0.-.-.0.D.8	02	1	1	0	0
10400W0C.W1001.9.B.D.0.-.-.0.L.9	0G	1	0	1	0
1040900G.100W0.9.C.D.0.-.-.0.L.9	00	2	2	0	0
1040900G.100W1.9.B.L.0.-.-.0.D.A	0E	2	0	2	0
1040940G.100W1.8.B.D.0.-.-.0.L.B	01	2	2	0	0
1040940G.100W3.8.A.L.0.-.-.0.D.C	07	2	0	2	0
1040942G.100W3.7.A.D.0.-.-.0.L.D	02	2	2	0	0
1040942G.100W7.7.9.L.0.-.-.0.D.E	0S	2	0	2	0
1040W08C.W3001.8.A.D.G00.-.-.1.L.D	0S	1	0	1	0
1040W08C.m3001.8.9.L.0.-.-.0.D.E	0G	1	1	0	0
1040WG8C.m3001.7.9.D.0.-.-.0.L.F	0H	1	0	1	0
1040WG8C.m3W01.7.8.L.0.-.-.0.D.G	0F	1	1	0	0
1040WO8C.m3W01.6.8.D.0.-.-.0.L.H	0A	1	0	1	0
1040WO8C.m3WG1.6.7.L.0.-.-.0.D.I	08	1	1	0	0
1040WOCC.20m3WG1.5.6.L.0.-.-.0.D.K	0V	1	1	0	0
1040WOCC.m3WG1.5.7.D.0.-.-.0.L.J	0b	1	0	1	0
10421003.Du00G.8.7.D.0.-.-.0.L.F	0k	1	1	0	0
10421003.G00Du00G.8.6.L.0.-.-.0.D.G	0B	1	0	1	0
104210W3.G00Du00G.7.6.D.0.-.-.0.L.H	03	1	1	0	0
104210W3.G00Du00O.7.5.L.0.-.-.0.D.I	02	1	0	1	0
104210W7.G00Du00O.6.5.D.0.-.-.0.L.J	0d	1	1	0	0
104210W7.G80Du00O.6.4.L.0.-.-.0.D.K	07	1	0	1	0
104210Y7.G80Du00O.5.4.D.0.-.-.0.L.L	05	1	1	0	0
104210Y7.G80Du00u.5.3.L.0.-.-.0.D.M	0E	1	0	1	0
104214Y7.G80Du00u.4.3.D.0.-.-.0.L.N	0S	1	1	0	0
104214Y7.G80Tu00u.4.2.L.0.-.-.0.D.O	0F	1	0	1	0
10421CY7.G80Tu00u.3.2.D.0.-.-.0.L.P	0T	1	1	0	0
10421CY7.G80zu00u.3.1.L.0.-.-.0.D.Q	08	1	0	1	0
10421Cc7.G80zu00u.2.1.D.0.-.-.0.L.R	0c	1	1	0	0
10421Cc7.GC0zu00u.2.0.L.0.-.-.0.D.S	0J	1	0	1	0
10423Cc7.GC0vu01u.1.0.L.0.-.6.0.D.U	0D	1	0	1	0
10423Cc7.GC0zu00u.1.0.D.0.-.-.0.L.T	Kn	1	1	0	0
10423Ec7.GC0vu01u.0.0.D.0.-.6.0.L.V	3Z	1	1	0	0
10423Ec7.GC2vu01m.0.0.L.0.-.V.0.D.W	1y	1	0	1	0
10463Ec4.mE0vu01G.1.0.L.100000.U.-.1.D.a	0V	1	0	1	0
10463Ec5.GC2vu01m.0.0.D.0.Q.V.0.L.X	5L	1	1	0	0
10463Ec5.mC2vu01G.0.0.L.0.Q.l.0.D.Y	1F	1	0	1	0
104G942G.100W7.6.9.D.0.-.-.0.L.F	03	2	2	0	0
104G942G.100WF.6.8.L.0.-.-.0.D.G	05	2	0	2	0
104G942m.100WF.5.8.D.0.-.-.0.L.H	0G	2	2	0	0
104G942m.10GWF.5.7.L.0.-.-.0.D.I	0P	2	0	2	0
104G942m.50GWF.5.6.L.20000.-.-.1.D.K	06	2	0	2	0
104G943m.50GWF.4.6.D.0.-.-.0.L.L	0D	2	2	0	0
104G943m.50IWF.4.5.L.0.-.-.0.D.M	0K	2	0	2	0
104GC63m.72GeF.3.3.L.1000.-.-.1.D.S	0R	2	0	2	0
104GD43m.50GWF.3.6.D.200.-.-.1.L.N	0J	2	2	0	0
104GD43m.52GWF.3.5.L.0.-.-.0.D.O	0A	2	0	2	0
104GD43m.52GeF.3.4.L.G0.-.-.1.D.Q	0D	2	0	2	0
104GD4Jm.52GWF.2.5.D.0.-.-.0.L.P	09	2	2	0	0
104GD63m.52GeF.2.4.D.0.-.-.0.L.R	0P	2	2	0	0
104I942m.10GWF.4.7.D.0.-.-.0.L.J	0Q	2	2	0	0
104OC63m.72GeF.2.3.D.0.-.-.0.L.T	0I	2	2	0	0
104OC63m.73GeF.2.2.L.0.-.-.0.D.U	0Y	2	0	2	0
10563Ec4.mC0vu01G.0.1.D.200000.U.l.1.L.Z	0b	1	1	0	0
1060WOCC.20m3WG1.4.6.D.0.-.-.0.L.L	0O	1	0	1	0
1060WOCC.20n3WG1.4.5.L.0.-.-.0.D.M	0P	1	1	0	0
1062WOCC.20m3WG1.3.6.D.10000.-.-.1.L.N	0M	1	0	1	0
1062WOCC.20mJWG1.3.5.L.0.-.-.0.D.O	0O	1	1	0	0
1063WOCC.20mJWG1.2.5.D.0.-.-.0.L.P	0k	1	0	1	0
1063WOCC.G20mJWG1.2.4.L.0.-.-.0.D.Q	0X	1	1	0	0
10663Ec4.mE0vu01G.0.0.D.0.-.-.0.L.b	Jd	1	1	0	0
10663Ec4.mE1uu01G.0.0.L.0.-.U.0.D.c	BM	1	0	1	0
10842.1W8100.A.A.L.0.-.-.0.D.8	0W	1	0	1	0
10842.W8100.A.B.D.0.-.-.0.L.7	0U	1	1	0	0
1085BuC21.3p8W03X6.0.0.D.0.d.-.0.L.j	2G	1	0	1	0
1085BuC21.Jp8W03X4.0.0.L.0.d.k.0.D.k	L-	1	1	0	0
108L3uC21.JJ0W03X4.0.2.D.W800000.Y.k.2.L.l	08	1	0	1	0
108L3uC21.JJ0W03b4.0.1.L.0.Y.-.0.D.m	OO	1	1	0	0
