# state	agent	action	depth	score	prior_nodes	visits	wins	losses	draws
10G8000WS.Z0000S01.7.7.L.0.-.-.0.D.E	rust-pathfinder-v0.1.0	0C	4	190	8178	1	1	0	0
10G8001WS.Z0000S01.6.7.D.0.-.-.0.L.F	lunatic-v0.1.0	0J	1	850	34	1	0	1	0
10G8001WS.Z0002S01.6.6.L.0.-.-.0.D.G	rust-pathfinder-v0.1.0	05	4	220	9182	1	1	0	0
10G8001Wy.Z0002S01.5.6.D.0.-.-.0.L.H	lunatic-v0.1.0	0I	1	850	32	1	0	1	0
10G8001Wy.Z0003S01.5.5.L.0.-.-.0.D.I	rust-pathfinder-v0.1.0	0Q	4	95	8866	1	1	0	0
10G802.202W0000.A.B.L.1000000.-.-.1.D.A	rust-pathfinder-v0.1.0	08	4	720	9500	1	1	0	0
10G8401Wy.Z0001S01.4.6.D.2000.-.-.1.L.J	lunatic-v0.1.0	0H	1	500	30	1	0	1	0
10G8401Wy.Z0001y01.4.5.L.0.-.-.0.D.K	rust-pathfinder-v0.1.0	0K	4	11315	3605	1	1	0	0
10G842.202W0000.9.B.D.0.-.-.0.L.B	lunatic-v0.1.0	0i	1	850	41	1	0	1	0
10G842.602W0000.9.A.L.0.-.-.0.D.C	rust-pathfinder-v0.1.0	0g	4	615	8472	1	1	0	0
10G8441Wy.Z0001y01.3.5.D.0.-.-.0.L.L	lunatic-v0.1.0	0J	1	350	29	1	0	1	0
10G8441Wy.Z0003y01.3.4.L.0.-.-.0.D.M	rust-pathfinder-v0.1.0	0P	4	11390	3297	1	1	0	0
10G8462X7.m0Nm040W.2.4.D.0.-.-.0.L.P	lunatic-v0.1.0	0f	1	700	27	1	0	1	0
10G8462X7.mWNm040W.2.3.L.0.-.-.0.D.Q	rust-pathfinder-v0.1.0	0d	4	440	3031	1	1	0	0
10G862110.W0KG500X.6.6.D.0.-.-.0.L.J	lunatic-v0.1.0	0D	1	350	33	1	0	1	0
10G862110.W0KG520X.6.5.L.0.-.-.0.D.K	rust-pathfinder-v0.1.0	0f	4	650	8042	1	1	0	0
10G8641Wy.Z0002y01.2.5.D.1000.-.-.1.L.N	lunatic-v0.1.0	0f	1	350	27	1	0	1	0
10G8641Wy.ZW002y01.2.4.L.0.-.-.0.D.O	rust-pathfinder-v0.1.0	07	4	590	4214	1	1	0	0
10G8641Yy.ZW002y01.1.4.D.0.-.-.0.L.P	lunatic-v0.1.0	0d	1	33200	26	1	0	1	0
10G94Zk.u23WO41.2.3.L.400000.-.-.1.D.U	rust-pathfinder-v0.1.0	0i	4	-110	6208	1	1	0	0
10I100G84._0400000.7.7.D.0.-.-.0.L.H	rust-pathfinder-v0.1.0	0X	4	420	9849	1	1	0	0
10O8462X7.mWNm040W.1.3.D.0.-.-.0.L.R	lunatic-v0.1.0	0c	1	16450	25	1	0	1	0
10O8462X7.maNm040W.1.2.L.0.-.-.0.D.S	rust-pathfinder-v0.1.0	0R	4	445	9912	1	1	0	0
10O8C62X6.qWNm040e.1.1.L.2000000.b.-.1.D.W	rust-pathfinder-v0.1.0	0j	4	12130	2963	1	1	0	0
10O8C62X7.maNm040W.0.2.D.0.-.-.0.L.T	lunatic-v0.1.0	03	1	0	23	1	0	1	0
10O8C62X7.maNm040e.0.1.L.0.-.-.0.D.U	rust-pathfinder-v0.1.0	1M	4	10600	63611	1	1	0	0
10Q8C62X6.mWNm040e.0.2.D.4000000.b.-.1.L.V	lunatic-v0.1.0	0i	1	10000	22	1	0	1	0
10W000.G000.C.D.D.0.-.-.0.L.3	rust-pathfinder-v0.1.0	0O	4	30	16404	1	1	0	0
